iter	Passed	Remaining
622	3051	866
623	3056	861
624	3061	857
625	3071	853
626	3080	850
627	3089	846
628	3096	841
629	3103	837
630	3109	832
631	3116	828
632	3126	824
633	3135	821
634	3141	816
635	3145	811
636	3166	810
637	3168	804
638	3170	798
639	3173	793
640	3181	789
641	3187	784
642	3191	779
643	3195	774
644	3206	770
645	3220	767
646	3224	762
647	3229	757
648	3236	752
649	3239	747
650	3241	741
651	3244	736
652	3249	731
653	3253	726
654	3258	721
655	3272	718
656	3278	713
657	3283	708
658	3286	703
659	3288	697
660	3292	692
661	3298	687
662	3303	682
663	3306	677
664	3308	671
665	3311	666
666	3314	660
667	3321	656
668	3325	651
669	3329	645
670	3331	640
671	3335	635
672	3340	630
673	3346	625
674	3353	621
675	3358	615
676	3365	611
677	3369	606
678	3373	601
679	3376	595
680	3378	590
681	3380	584
682	3387	580
683	3392	575
684	3395	570
685	3399	564
686	3403	559
687	3407	554
688	3411	549
689	3417	544
690	3419	539
691	3422	534
692	3428	529
693	3436	524
694	3439	519
695	3449	515
696	3454	510
697	3457	505
698	3460	500
699	3468	495
700	3473	490
701	3476	485
702	3478	479
703	3480	474
704	3485	469
705	3490	464
706	3496	459
707	3500	454
708	3508	450
709	3514	445
710	3518	440
711	3522	435
712	3526	430
713	3532	425
714	3544	421
715	3549	416
716	3552	411
717	3558	406
718	3566	401
719	3570	396
720	3572	391
721	3575	386
722	3577	380
723	3579	375
724	3587	371
725	3592	366
726	3597	361
727	3599	355
728	3604	351
729	3612	346
730	3615	341
731	3618	336
732	3620	330
733	3622	325
734	3626	320
735	3632	315
736	3638	311
737	3654	307
738	3664	302
739	3666	297
740	3672	292
741	3679	287
742	3683	282
743	3685	277
744	3688	272
745	3690	267
746	3692	262
747	3695	256
748	3701	252
749	3707	247
750	3712	242
751	3714	237
752	3722	232
753	3730	227
754	3734	222
755	3738	217
756	3740	212
757	3749	207
758	3754	202
759	3758	197
760	3762	192
761	3765	187
762	3768	182
763	3778	178
764	3783	173
765	3788	168
766	3791	163
767	3794	158
768	3799	153
769	3806	148
770	3813	143
771	3819	138
772	3822	133
773	3829	128
774	3842	123
775	3845	118
776	3848	113
777	3851	108
778	3853	103
779	3860	98
780	3877	94
781	3885	89
782	3890	84
783	3893	79
784	3897	74
785	3910	69
786	3916	64
787	3918	59
788	3923	54
789	3929	49
790	3936	44
791	3939	39
792	3942	34
793	3944	29
794	3949	24
795	3956	19
796	3970	14
797	3978	9
798	3983	4
799	3988	0
