iter	Logloss
0	0.6717020476
1	0.6565356755
2	0.6401268065
3	0.6276170628
4	0.6139131618
5	0.6025885404
6	0.5937080955
7	0.5824923913
8	0.5698345491
9	0.5607595632
10	0.5509027919
11	0.5400624339
12	0.532982793
13	0.5263944283
14	0.5191959553
15	0.5132734781
16	0.5078287837
17	0.5029561734
18	0.4963677027
19	0.4911068385
20	0.4851741043
21	0.4801678005
22	0.4729685258
23	0.4690788403
24	0.4662721248
25	0.460066588
26	0.4566203846
27	0.4523041005
28	0.4475097151
29	0.4413644718
30	0.4383620345
31	0.4336534354
32	0.4294248797
33	0.4264748253
34	0.4233395769
35	0.4211115134
36	0.4168079288
37	0.4110507504
38	0.4075347624
39	0.4031257456
40	0.3996513695
41	0.3959760591
42	0.3928098655
43	0.389986821
44	0.3841944739
45	0.3805478305
46	0.3770562794
47	0.374661921
48	0.3703526494
49	0.3674544662
50	0.3655192433
51	0.3616245548
52	0.3595994543
53	0.3576989748
54	0.3547292718
55	0.3515042083
56	0.3488905263
57	0.3436245854
58	0.3413878437
59	0.3394066591
60	0.3365005061
61	0.3340687981
62	0.3324145203
63	0.3296545985
64	0.326949007
65	0.3246558246
66	0.3221445369
67	0.3210144107
68	0.3186043707
69	0.3163768289
70	0.3143486202
71	0.3110461618
72	0.3095258188
73	0.3073369626
74	0.3052898341
75	0.3036026823
76	0.2994608696
77	0.2979323867
78	0.2960962785
79	0.2935444784
80	0.2913924833
81	0.2891138387
82	0.2878598981
83	0.2851682106
84	0.2838394001
85	0.2823690942
86	0.2800688942
87	0.2790069602
88	0.2761066693
89	0.2747542439
90	0.2732185468
91	0.2713711343
92	0.2689757932
93	0.266216087
94	0.2652331961
95	0.2619162116
96	0.2609381177
97	0.2594531899
98	0.2579370208
99	0.2563995631
100	0.2545579634
101	0.2528592161
102	0.2516350698
103	0.2503357947
104	0.2485241327
105	0.247269886
106	0.2453426183
107	0.2444112541
108	0.2421777785
109	0.2406579367
110	0.2388187175
111	0.2373224319
112	0.2360324859
113	0.2343894705
114	0.2330166118
115	0.2314809043
116	0.2302797419
117	0.2279698654
118	0.2271197934
119	0.2260878662
120	0.2242026755
121	0.2228392648
122	0.2218064292
123	0.2210651917
124	0.2200377678
125	0.2189012551
126	0.217062737
127	0.2161841926
128	0.2147252621
129	0.2130502051
130	0.2112442473
131	0.2098735075
132	0.2082093856
133	0.2069266302
134	0.2058715749
135	0.2049270977
136	0.2023617192
137	0.1996958752
138	0.1985076942
139	0.1967476348
140	0.1957386627
141	0.1944186981
142	0.192700792
143	0.1915426518
144	0.1900006619
145	0.1888693085
146	0.1869866628
147	0.1858921143
148	0.1842957956
149	0.1829821963
150	0.1825042591
151	0.1813094713
152	0.1802877688
153	0.178693873
154	0.1778354895
155	0.1768589561
156	0.1756785548
157	0.1750833885
158	0.1741564812
159	0.1727540629
160	0.1719674271
161	0.1708248487
162	0.1696025018
163	0.1685191269
164	0.1673671381
165	0.1666818855
166	0.1657236197
167	0.1646263058
168	0.1634882977
169	0.1625679725
170	0.1613053905
171	0.1602725406
172	0.15920549
173	0.1578068173
174	0.1565043851
175	0.1552262152
176	0.1538817661
177	0.1532447835
178	0.1530625649
179	0.1518252778
180	0.1510439726
181	0.1500988459
182	0.1498158262
183	0.148885899
184	0.1483563215
185	0.147091234
186	0.1465300734
187	0.1463805174
188	0.1457816343
189	0.1447019487
190	0.1444157358
191	0.1435407773
192	0.142161293
193	0.1414064953
194	0.1409141642
195	0.1403342821
196	0.1393818442
197	0.1382852981
198	0.1374492136
199	0.1372300351
200	0.1366025127
201	0.1358349901
202	0.1347561677
203	0.133702422
204	0.1335268578
205	0.1325517751
206	0.1322471234
207	0.1315809084
208	0.130807286
209	0.130211315
210	0.1297844718
211	0.1295313378
212	0.1287621024
213	0.1280199324
214	0.1266722622
215	0.1252936137
216	0.1243295539
217	0.1234763467
218	0.1228677914
219	0.1226971271
220	0.1215340085
221	0.1207244085
222	0.1204124799
223	0.1199475309
224	0.1189507479
225	0.1184934266
226	0.1169740597
227	0.1161386475
228	0.1158107469
229	0.114991092
230	0.1142822228
231	0.1139811045
232	0.1130720451
233	0.1122004937
234	0.1111524519
235	0.1101789804
236	0.1097978128
237	0.1088487611
238	0.1080584965
239	0.1071707129
240	0.1065019038
241	0.1056425323
242	0.105148982
243	0.1047291891
244	0.1044231225
245	0.1035520468
246	0.1028618375
247	0.1020358376
248	0.1013076128
249	0.1008197084
250	0.1003515141
251	0.09991095864
252	0.09986676174
253	0.09950978623
254	0.09882831804
255	0.0985090743
256	0.09800906171
257	0.09724139863
258	0.0965730126
259	0.09648035034
260	0.0959414562
261	0.09514192578
262	0.09479680966
263	0.09401249152
264	0.09343441489
265	0.09293334864
266	0.09255653078
267	0.09194628085
268	0.09138079232
269	0.09101375648
270	0.09029466494
271	0.09002409108
272	0.08937395419
273	0.08917356882
274	0.08875365427
275	0.08802928234
276	0.08756666151
277	0.08698173234
278	0.08645557252
279	0.08602351941
280	0.0854516225
281	0.08491231067
282	0.08440034823
283	0.08389093314
284	0.08330094732
285	0.0826347711
286	0.08216619395
287	0.08201111741
288	0.08181664846
289	0.08159668688
290	0.08097344922
291	0.08092913662
292	0.08081580706
293	0.08023545125
294	0.07994327001
295	0.07939421682
296	0.07937707144
297	0.07890307932
298	0.07832440481
299	0.07798078039
300	0.07792004704
301	0.07754941131
302	0.07734718588
303	0.07669568303
304	0.07667967394
305	0.07633460848
306	0.0762025535
307	0.07609478259
308	0.07578993345
309	0.07537695235
310	0.07478897164
311	0.07427297078
312	0.07406174014
313	0.07356041973
314	0.07347029558
315	0.07297775614
316	0.0724321006
317	0.07211521541
318	0.07198378247
319	0.07167591219
320	0.07154685139
321	0.07120213725
322	0.07084062977
323	0.07032928714
324	0.07010109291
325	0.06974365097
326	0.06963183315
327	0.06920428373
328	0.06890381622
329	0.06851778352
330	0.06823772836
331	0.06799862627
332	0.06774882656
333	0.06773025287
334	0.0674831732
335	0.06704095864
336	0.06653884726
337	0.06623416218
338	0.06588368252
339	0.06575289164
340	0.06533817883
341	0.06528532467
342	0.06491197551
343	0.06474958711
344	0.06427987379
345	0.06401007542
346	0.06375113058
347	0.0633059431
348	0.06300100387
349	0.06269907817
350	0.06221998549
351	0.06172207835
352	0.06146677436
353	0.06126833824
354	0.0610842529
355	0.06072035
356	0.06046823066
357	0.06033292457
358	0.05998601802
359	0.05979085814
360	0.05932456673
361	0.05922154828
362	0.05897179402
363	0.05858158082
364	0.05828834967
365	0.05797897131
366	0.05767982169
367	0.05757324403
368	0.05729630418
369	0.05714379767
370	0.05704809782
371	0.05692918642
372	0.0566564262
373	0.05636505285
374	0.05614042673
375	0.05588158769
376	0.05567247781
377	0.05546347821
378	0.05522010564
379	0.05503501551
380	0.05479557152
